570,الملقا
468,السليمانية
470,السويدي
548,المروج
634,اليرموك
614,النهضة
590,المونسية
682,طويق
664,حطين
600,النرجس
688,ظهرة لبن
598,الندى
390,اشبيلية
588,المهدية
566,المغرزات
460,السعادة
690,ظهرة نمار
632,الياسمين
416,الحمراء
706,قرطبة
686,ظهرة البديعة
530,القادسية
708,لبن
452,الروضة
578,الملك فيصل
446,الرمال
596,النخيل
574,الملك عبدالله
494,العارض
410,الجنادرية
486,الصحافة
472,السويدي الغربي
422,الخليج
604,النسيم الشرقي
564,المعيزلة
536,القيروان
436,الرائد
440,الربيع
450,الروابي
414,الحزم
476,الشرق
404,التعاون
704,غرناطة
428,الدريهمية
526,الفيحاء
532,القدس
488,الصفا
454,الريان
458,الزهرة
582,المنار
694,عرقة
556,المصيف
464,السلام
610,النفل
712,مطار الملك خالد الدولي
606,النسيم الغربي
650,بنبان
506,العليا
504,العقيق
668,ديراب
602,النزهة
392,الازدهار
674,شبرا
442,الرحمانية
396,الاندلس
572,الملك عبدالعزيز
608,النظيم
672,سلطانة
622,الوادي
676,صلاح الدين
498,العريجاء الغربية
482,الشهداء
560,المعذر الشمالي
514,الغدير
576,الملك فهد
538,المحمدية
680,ضاحية نمار
624,الورود
718,نمار
444,الرفيعة
408,الجزيرة
522,الفلاح
620,الواحة
